AppName;KeyLanguage;Key;ValueLanguage;Value
QuickNSmart;En;Cancel;De;Cancel
QuickNSmart;En;Submit;De;Submit
QuickNSmart;En;Confirm;De;Bestätigen
QuickNSmart;En;AccessFailedCount;De;AccessFailedCount
QuickNSmart;En;Action;De;Action
QuickNSmart;En;Album;De;Album
QuickNSmart;En;AlbumId;De;AlbumId
QuickNSmart;En;Albums;De;Albums
QuickNSmart;En;AlbumTitle;De;AlbumTitle
QuickNSmart;En;AnotherItem;De;AnotherItem
QuickNSmart;En;AppName;De;AppName
QuickNSmart;En;Artist;De;Artist
QuickNSmart;En;ArtistId;De;ArtistId
QuickNSmart;En;ArtistName;De;ArtistName
QuickNSmart;En;ByteNullable;De;ByteNullable
QuickNSmart;En;Bytes;De;Bytes
QuickNSmart;En;ByteValue;De;ByteValue
QuickNSmart;En;CheckBox;De;CheckBox
QuickNSmart;En;CheckBoxNullable;De;CheckBoxNullable
QuickNSmart;En;Composer;De;Composer
QuickNSmart;En;Data;De;Data
QuickNSmart;En;DateTimeNullable;De;DateTimeNullable
QuickNSmart;En;DateTimeValue;De;DateTimeValue
QuickNSmart;En;Description;De;Description
QuickNSmart;En;Designation;De;Designation
QuickNSmart;En;DoubleNullable;De;DoubleNullable
QuickNSmart;En;DoubleValue;De;DoubleValue
QuickNSmart;En;Email;De;Email
QuickNSmart;En;EnableJwtAuth;De;EnableJwtAuth
QuickNSmart;En;EnumState;De;EnumState
QuickNSmart;En;Firstname;De;Firstname
QuickNSmart;En;GenreId;De;GenreId
QuickNSmart;En;GenreName;De;GenreName
QuickNSmart;En;Guid;De;Guid
QuickNSmart;En;Id;De;Id
QuickNSmart;En;IdentityId;De;IdentityId
QuickNSmart;En;Info;De;Info
QuickNSmart;En;IntegerNullable;De;IntegerNullable
QuickNSmart;En;IntegerValue;De;IntegerValue
QuickNSmart;En;IsRemoteAuth;De;IsRemoteAuth
QuickNSmart;En;JsonWebToken;De;JsonWebToken
QuickNSmart;En;Key;De;Key
QuickNSmart;En;KeyLanguage;De;KeyLanguage
QuickNSmart;En;LastAccess;De;LastAccess
QuickNSmart;En;Lastname;De;Lastname
QuickNSmart;En;LoginTime;De;LoginTime
QuickNSmart;En;LogoutTime;De;LogoutTime
QuickNSmart;En;ManyItems;De;ManyItems
QuickNSmart;En;Milliseconds;De;Milliseconds
QuickNSmart;En;Name;De;Name
QuickNSmart;En;Note;De;Note
QuickNSmart;En;OneItem;De;OneItem
QuickNSmart;En;OptionalInfo;De;OptionalInfo
QuickNSmart;En;Origin;De;Origin
QuickNSmart;En;Password;De;Password
QuickNSmart;En;RoleId;De;RoleId
QuickNSmart;En;RowVersion;De;RowVersion
QuickNSmart;En;SessionToken;De;SessionToken
QuickNSmart;En;ShortNullable;De;ShortNullable
QuickNSmart;En;ShortValue;De;ShortValue
QuickNSmart;En;State;De;State
QuickNSmart;En;Subject;De;Subject
QuickNSmart;En;TextArea;De;TextArea
QuickNSmart;En;TextAreaReadonly;De;TextAreaReadonly
QuickNSmart;En;TextBox;De;TextBox
QuickNSmart;En;TextBoxRequired;De;TextBoxRequired
QuickNSmart;En;Time;De;Time
QuickNSmart;En;TimeOutInMinutes;De;TimeOutInMinutes
QuickNSmart;En;TimeSpanNullable;De;TimeSpanNullable
QuickNSmart;En;TimeSpanValue;De;TimeSpanValue
QuickNSmart;En;Title;De;Title
QuickNSmart;En;Token;De;Token
QuickNSmart;En;TrackId;De;TrackId
QuickNSmart;En;Tracks;De;Tracks
QuickNSmart;En;TrackTitle;De;TrackTitle
QuickNSmart;En;UnitPrice;De;UnitPrice
QuickNSmart;En;Value;De;Value
QuickNSmart;En;ValueLanguage;De;ValueLanguage
QuickNSmart;En;LoginMenu.Access-Authorization;De;Access-Authorization
QuickNSmart;En;LoginMenu.Identity-User;De;Identity-User
QuickNSmart;En;LoginMenu.Role-Management;De;Role-Management
QuickNSmart;En;LoginMenu.Change password;De;Change password
QuickNSmart;En;LoginMenu.Reset password;De;Reset password
QuickNSmart;En;LoginMenu.Translation;De;Translation
QuickNSmart;En;LoginMenu.Settings;De;Settings
QuickNSmart;En;LoginMenu.Logout;De;Logout
QuickNSmart;En;ActionLog.TitelDetails;De;TitelDetails
QuickNSmart;En;ActionLog.TitleEditModel;De;TitleEditModel
QuickNSmart;En;ActionLog.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Album.TitelDetails;De;TitelDetails
QuickNSmart;En;Album.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Album.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;AlbumArtist.TitelDetails;De;TitelDetails
QuickNSmart;En;AlbumArtist.TitleEditModel;De;TitleEditModel
QuickNSmart;En;AlbumArtist.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;AlbumBase.TitelDetails;De;TitelDetails
QuickNSmart;En;AlbumBase.TitleEditModel;De;TitleEditModel
QuickNSmart;En;AlbumBase.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;AlbumTracks.TitelDetails;De;TitelDetails
QuickNSmart;En;AlbumTracks.TitleEditModel;De;TitleEditModel
QuickNSmart;En;AlbumTracks.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;AppAccess.TitelDetails;De;TitelDetails
QuickNSmart;En;AppAccess.TitleEditModel;De;TitleEditModel
QuickNSmart;En;AppAccess.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Artist.TitelDetails;De;TitelDetails
QuickNSmart;En;Artist.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Artist.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;ArtistAlbums.TitelDetails;De;TitelDetails
QuickNSmart;En;ArtistAlbums.TitleEditModel;De;TitleEditModel
QuickNSmart;En;ArtistAlbums.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;BinaryData.TitelDetails;De;TitelDetails
QuickNSmart;En;BinaryData.TitleEditModel;De;TitleEditModel
QuickNSmart;En;BinaryData.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;EditForm.TitelDetails;De;TitelDetails
QuickNSmart;En;EditForm.TitleEditModel;De;TitleEditModel
QuickNSmart;En;EditForm.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Genre.TitelDetails;De;TitelDetails
QuickNSmart;En;Genre.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Genre.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;GenreEx.TitelDetails;De;TitelDetails
QuickNSmart;En;GenreEx.TitleEditModel;De;TitleEditModel
QuickNSmart;En;GenreEx.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Identity.TitelDetails;De;TitelDetails
QuickNSmart;En;Identity.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Identity.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;IdentityUser.TitelDetails;De;TitelDetails
QuickNSmart;En;IdentityUser.TitleEditModel;De;TitleEditModel
QuickNSmart;En;IdentityUser.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;IdentityXRole.TitelDetails;De;TitelDetails
QuickNSmart;En;IdentityXRole.TitleEditModel;De;TitleEditModel
QuickNSmart;En;IdentityXRole.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;JsonWebLogon.TitelDetails;De;TitelDetails
QuickNSmart;En;JsonWebLogon.TitleEditModel;De;TitleEditModel
QuickNSmart;En;JsonWebLogon.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Login.TitelDetails;De;TitelDetails
QuickNSmart;En;Login.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Login.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;LoginBase.TitelDetails;De;TitelDetails
QuickNSmart;En;LoginBase.TitleEditModel;De;TitleEditModel
QuickNSmart;En;LoginBase.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;LoginSession.TitelDetails;De;TitelDetails
QuickNSmart;En;LoginSession.TitleEditModel;De;TitleEditModel
QuickNSmart;En;LoginSession.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;LoginUser.TitelDetails;De;TitelDetails
QuickNSmart;En;LoginUser.TitleEditModel;De;TitleEditModel
QuickNSmart;En;LoginUser.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Logon.TitelDetails;De;TitelDetails
QuickNSmart;En;Logon.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Logon.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;MusicStoreBase.TitelDetails;De;TitelDetails
QuickNSmart;En;MusicStoreBase.TitleEditModel;De;TitleEditModel
QuickNSmart;En;MusicStoreBase.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Nameable.TitelDetails;De;TitelDetails
QuickNSmart;En;Nameable.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Nameable.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Role.TitelDetails;De;TitelDetails
QuickNSmart;En;Role.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Role.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Setting.TitelDetails;De;TitelDetails
QuickNSmart;En;Setting.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Setting.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Track.TitelDetails;De;TitelDetails
QuickNSmart;En;Track.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Track.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;Translation.TitelDetails;De;TitelDetails
QuickNSmart;En;Translation.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Translation.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;User.TitelDetails;De;TitelDetails
QuickNSmart;En;User.TitleEditModel;De;TitleEditModel
QuickNSmart;En;User.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;ViewFullTrack.TitelDetails;De;TitelDetails
QuickNSmart;En;ViewFullTrack.TitleEditModel;De;TitleEditModel
QuickNSmart;En;ViewFullTrack.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;ViewTrack.TitelDetails;De;TitelDetails
QuickNSmart;En;ViewTrack.TitleEditModel;De;TitleEditModel
QuickNSmart;En;ViewTrack.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;SubmitClose;De;SubmitClose
QuickNSmart;En;Count;De;Count
QuickNSmart;En;CreatedOn;De;CreatedOn
QuickNSmart;En;Discount;De;Discount
QuickNSmart;En;Percentage;De;Percentage
QuickNSmart;En;PiecePrice;De;PiecePrice
QuickNSmart;En;PriceNet;De;PriceNet
QuickNSmart;En;Order.TitelDetails;De;TitelDetails
QuickNSmart;En;Order.TitleEditModel;De;TitleEditModel
QuickNSmart;En;Order.TitleConfirmDelete;De;TitleConfirmDelete
QuickNSmart;En;ProductName;De;ProductName
QnSProjectAward;En;Cancel;De;Cancel
QnSProjectAward;En;Confirm;De;Confirm
QnSProjectAward;En;Submit;De;Submit
QnSProjectAward;En;SubmitClose;De;SubmitClose
QnSProjectAward;En;AccessFailedCount;De;AccessFailedCount
QnSProjectAward;En;Action;De;Action
QnSProjectAward;En;AnotherItem;De;AnotherItem
QnSProjectAward;En;AppName;De;AppName
QnSProjectAward;En;Data;De;Data
QnSProjectAward;En;Description;De;Description
QnSProjectAward;En;Designation;De;Designation
QnSProjectAward;En;Email;De;Email
QnSProjectAward;En;EnableJwtAuth;De;EnableJwtAuth
QnSProjectAward;En;Firstname;De;Firstname
QnSProjectAward;En;Guid;De;Guid
QnSProjectAward;En;Id;De;Id
QnSProjectAward;En;IdentityId;De;IdentityId
QnSProjectAward;En;Info;De;Info
QnSProjectAward;En;IsRemoteAuth;De;IsRemoteAuth
QnSProjectAward;En;JsonWebToken;De;JsonWebToken
QnSProjectAward;En;Key;De;Key
QnSProjectAward;En;KeyLanguage;De;KeyLanguage
QnSProjectAward;En;LastAccess;De;LastAccess
QnSProjectAward;En;Lastname;De;Lastname
QnSProjectAward;En;LoginTime;De;LoginTime
QnSProjectAward;En;LogoutTime;De;LogoutTime
QnSProjectAward;En;ManyItems;De;ManyItems
QnSProjectAward;En;Name;De;Name
QnSProjectAward;En;OneItem;De;OneItem
QnSProjectAward;En;OptionalInfo;De;OptionalInfo
QnSProjectAward;En;Origin;De;Origin
QnSProjectAward;En;Password;De;Password
QnSProjectAward;En;RoleId;De;RoleId
QnSProjectAward;En;RowVersion;De;RowVersion
QnSProjectAward;En;SessionToken;De;SessionToken
QnSProjectAward;En;State;De;State
QnSProjectAward;En;Subject;De;Subject
QnSProjectAward;En;Time;De;Time
QnSProjectAward;En;TimeOutInMinutes;De;TimeOutInMinutes
QnSProjectAward;En;Token;De;Token
QnSProjectAward;En;Value;De;Value
QnSProjectAward;En;ValueLanguage;De;ValueLanguage
QnSProjectAward;En;LoginMenu.Access-Authorization;De;Access-Authorization
QnSProjectAward;En;LoginMenu.Identity-User;De;Identity-User
QnSProjectAward;En;LoginMenu.Role-Management;De;Role-Management
QnSProjectAward;En;LoginMenu.Change password;De;Change password
QnSProjectAward;En;LoginMenu.Reset password;De;Reset password
QnSProjectAward;En;LoginMenu.Translation;De;Translation
QnSProjectAward;En;LoginMenu.Settings;De;Settings
QnSProjectAward;En;LoginMenu.Logout;De;Logout
QnSProjectAward;En;ActionLog.TitelDetails;De;TitelDetails
QnSProjectAward;En;ActionLog.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;ActionLog.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;AppAccess.TitelDetails;De;TitelDetails
QnSProjectAward;En;AppAccess.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;AppAccess.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;BinaryData.TitelDetails;De;TitelDetails
QnSProjectAward;En;BinaryData.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;BinaryData.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Identity.TitelDetails;De;TitelDetails
QnSProjectAward;En;Identity.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Identity.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;IdentityUser.TitelDetails;De;TitelDetails
QnSProjectAward;En;IdentityUser.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;IdentityUser.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;IdentityXRole.TitelDetails;De;TitelDetails
QnSProjectAward;En;IdentityXRole.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;IdentityXRole.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;JsonWebLogon.TitelDetails;De;TitelDetails
QnSProjectAward;En;JsonWebLogon.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;JsonWebLogon.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;LoginSession.TitelDetails;De;TitelDetails
QnSProjectAward;En;LoginSession.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;LoginSession.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Logon.TitelDetails;De;TitelDetails
QnSProjectAward;En;Logon.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Logon.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Role.TitelDetails;De;TitelDetails
QnSProjectAward;En;Role.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Role.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Setting.TitelDetails;De;TitelDetails
QnSProjectAward;En;Setting.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Setting.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Translation.TitelDetails;De;TitelDetails
QnSProjectAward;En;Translation.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Translation.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;User.TitelDetails;De;TitelDetails
QnSProjectAward;En;User.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;User.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;AwardId;De;AwardId
QnSProjectAward;En;Course;De;Course
QnSProjectAward;En;From;De;From
QnSProjectAward;En;Institution;De;Institution
QnSProjectAward;En;JurorId;De;JurorId
QnSProjectAward;En;Location;De;Location
QnSProjectAward;En;Logo;De;Logo
QnSProjectAward;En;Phone;De;Phone
QnSProjectAward;En;Position;De;Position
QnSProjectAward;En;ProjectId;De;ProjectId
QnSProjectAward;En;Rate;De;Rate
QnSProjectAward;En;Role;De;Role
QnSProjectAward;En;School;De;School
QnSProjectAward;En;Title;De;Title
QnSProjectAward;En;To;De;To
QnSProjectAward;En;Award.TitelDetails;De;TitelDetails
QnSProjectAward;En;Award.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Award.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Juror.TitelDetails;De;TitelDetails
QnSProjectAward;En;Juror.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Juror.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Member.TitelDetails;De;TitelDetails
QnSProjectAward;En;Member.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Member.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Project.TitelDetails;De;TitelDetails
QnSProjectAward;En;Project.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Project.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Rating.TitelDetails;De;TitelDetails
QnSProjectAward;En;Rating.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Rating.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;IdentitySetting.TitelDetails;De;TitelDetails
QnSProjectAward;En;IdentitySetting.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;IdentitySetting.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;NewRef;De;New
QnSProjectAward;En;ViewRef;De;View
QnSProjectAward;En;EditRef;De;Edit
QnSProjectAward;En;DeleteRef;De;Delete
QnSProjectAward;En;Reload;De;Reload
QnSProjectAward;En;TranslationMasterComponent.;De;
QnSProjectAward;En;TranslationDetailsComponent.;De;
QnSProjectAward;En;BinaryDataMasterComponent.;De;
QnSProjectAward;En;BinaryDataDetailsComponent.;De;
QnSProjectAward;En;IdentitySettingMasterComponent.;De;
QnSProjectAward;En;IdentitySettingDetailsComponent.;De;
QnSProjectAward;En;SettingMasterComponent.;De;
QnSProjectAward;En;SettingDetailsComponent.;De;
QnSProjectAward;En;AwardMasterComponent.;De;
QnSProjectAward;En;AwardDetailsComponent.;De;
QnSProjectAward;En;JurorMasterComponent.;De;
QnSProjectAward;En;JurorDetailsComponent.;De;
QnSProjectAward;En;MemberMasterComponent.;De;
QnSProjectAward;En;MemberDetailsComponent.;De;
QnSProjectAward;En;ProjectMasterComponent.;De;
QnSProjectAward;En;ProjectDetailsComponent.;De;
QnSProjectAward;En;RatingMasterComponent.;De;
QnSProjectAward;En;RatingDetailsComponent.;De;
QnSProjectAward;En;ActionLogMasterComponent.;De;
QnSProjectAward;En;ActionLogDetailsComponent.;De;
QnSProjectAward;En;IdentityMasterComponent.;De;
QnSProjectAward;En;IdentityDetailsComponent.;De;
QnSProjectAward;En;IdentityXRoleMasterComponent.;De;
QnSProjectAward;En;IdentityXRoleDetailsComponent.;De;
QnSProjectAward;En;LoginSessionMasterComponent.;De;
QnSProjectAward;En;LoginSessionDetailsComponent.;De;
QnSProjectAward;En;RoleMasterComponent.;De;
QnSProjectAward;En;RoleDetailsComponent.;De;
QnSProjectAward;En;UserMasterComponent.;De;
QnSProjectAward;En;UserDetailsComponent.;De;
QnSProjectAward;En;AppAccessMasterComponent.;De;
QnSProjectAward;En;AppAccessDetailsComponent.;De;
QnSProjectAward;En;IdentityUserMasterComponent.;De;
QnSProjectAward;En;IdentityUserDetailsComponent.;De;
QnSProjectAward;En;JsonWebLogonMasterComponent.;De;
QnSProjectAward;En;JsonWebLogonDetailsComponent.;De;
QnSProjectAward;En;LogonMasterComponent.;De;
QnSProjectAward;En;LogonDetailsComponent.;De;
QnSProjectAward;En;Category;De;Category
